feature,total,zero,median,mean,sd,IQR,min,max
area_median,4884,776,0.134771888758871,0.17189238797021092,0.1557467159894316,0.17698564990363586,0,0.9637469696997683
area_sidewalk,4884,226,0.24232874504715984,0.2547146781905728,0.13483466902652183,0.15651298605505215,0,0.8205947357833407
bike_length,4884,2759,0,0.011002148634597695,0.01616129826855719,0.019114207325310068,0,0.10871873731104835
brt_routes,4884,3603,0,0.0017030903629702894,0.004419719441756424,6.492720193055329e-4,0,0.07824286788147772
bus_routes,4884,314,0.007611647337663764,0.013070940696994451,0.018168234979818274,0.01435289393589954,0,0.2212073740040623
bus_stops,4884,3140,0,1.700949534479391e-4,3.394635202944413e-4,2.2899825567937357e-4,0,0.004055855126245205
grade,4884,1,0.6534500000000001,1.8032948402948403,2.901851028683327,1.3199999999999998,0,34.2989
num_lanes_total,4884,0,6,8.616707616707616,7.089383926693542,6,1,113
pedxwalk_signs,4884,4467,0,3.7780728296753974e-5,1.7537091088838826e-4,0,0,0.0033707043097122866
road_marks,4884,2381,1.5641380598867315e-4,0.0016667843837462346,0.0035095740679396965,0.0018392290528844303,0,0.058687670654138976
road_signs,4884,596,0.0013922704359243653,0.0018680947487647078,0.001889403126018263,0.001959989651460491,0,0.020689552572881815
road_width,4884,0,8.35,8.65773942384194,2.0930200080889474,2.7037499999975,2.35,40.085
school_zone_signs,4884,4606,0,3.1118347599255934e-5,1.6767830622598485e-4,0,0,0.002748929864646941
st_dir,4884,0,2,1.8955773955773956,0.30583929761642914,0,1,2
stop_signs,4884,4330,0,5.9723966151777286e-5,2.5831855776981233e-4,0,0,0.003995088591241644
stop_signs_v,4884,4373,0,5.397725353300844e-5,2.4120882698567268e-4,0,0,0.003995088591241644
total_st_signs,4884,2946,0,2.8374748612186156e-4,5.95901264053679e-4,3.3885749173154434e-4,0,0.006798864338364935
traffic_fines_tot,4884,741,0.002122251828453306,0.008132050333730247,0.04449007424237071,0.004731013669987609,0,1.9539144435602631
traffic_lights,4884,4045,0,7.068608343228585e-5,2.2647780009064087e-4,0,0,0.004239409379673679
trees,4884,778,0.003140947466809368,0.0042412344249660935,0.004816130672851668,0.004367426891949794,0,0.080542438668108493
warning_signs,4884,3224,0,5.445683026473114e-4,0.0015089377350167863,3.997278733223976e-4,0,0.01987477965073404
yield_signs,4884,4699,0,1.1134824484057077e-5,9.081435397748095e-5,0,0,0.003318334603283048
area_median,22469,20008,0,0.020649262997437676,0.0806937107475144,0,0,0.8999331636555901
area_sidewalk,22469,293,0.38050991115356936,0.37303624926278706,0.11611371500935612,0.13223218061664838,0,0.8468050416153301
bike_length,22469,20733,0,0.003841432436163316,0.016558120541740273,0,0,0.1769897642754675
brt_routes,22469,22346,0,2.0641123965310765e-5,5.189717229156817e-4,0,0,0.058233209708643575
bus_routes,22469,10414,9.179784240729504e-4,0.007211291654059721,0.016365555371395956,0.007271018861973033,0,0.6022929066227599
bus_stops,22469,19955,0,1.6005923713541611e-4,5.847653799615413e-4,0,0,0.008561685549863706
grade,22469,73,0.6337,2.5419799457029684,4.0369671245189105,2.5180000000000002,0,34.3121
num_lanes_total,22469,0,2,2.689972851484267,2.2503768094209327,1,1,112
pedxwalk_signs,22469,21856,0,3.218724913485963e-5,2.499938816787827e-4,0,0,0.007936997238004477
road_marks,22469,15095,0,0.0019007868732826706,0.004643453726386233,0.001859258560063152,0,0.1397657915908752
road_signs,22469,6543,0.002168868059137731,0.0029442517872287095,0.0032893049725726065,0.004413922320137354,0,0.04719917580875665
road_width,22469,0,7.32,7.607783411040826,1.9088600453772366,2.13,1.29,27.73
school_zone_signs,22469,20919,0,1.0327822755502723e-4,4.820136629713239e-4,0,0,0.011799793952189162
st_dir,22469,0,2,1.7463616538341715,0.4351027017846171,1,1,2
stop_signs,22469,19960,0,1.718836681002147e-4,0.00064154777450878915,0,0,0.01647220191319882
stop_signs_v,22469,20139,0,1.5969885192071317e-4,6.205602829626734e-4,0,0,0.01647220191319882
total_st_signs,22469,15736,0,5.844505973895582e-4,0.0012371963055859173,7.068271690442226e-4,0,0.017699690928283746
traffic_fines_tot,22469,14658,0,0.0018903498302554498,0.01019710249280527,0.0013890810401585602,0,1.121644523797755
traffic_lights,22469,21976,0,2.0938258669771426e-5,2.147727104863024e-4,0,0,0.010956387373738004
trees,22469,13030,0,0.0029851331673407156,0.005545793966693274,0.0043437915248636695,0,0.1992958701769327
warning_signs,22469,16365,0,0.0010142991549084658,0.0028652918732182844,6.726026306964039e-4,0,0.1397657915908752
yield_signs,22469,22396,0,2.0707439043030167e-6,5.591488771592658e-5,0,0,0.004645396236354962
area_median,58571,57493,0,0.003609216540596308,0.03504627121235548,0,0,0.8796376438832517
area_sidewalk,58571,6923,0.38441870759736546,0.34838074122084817,0.1609507552824535,0.15125677739725807,0,0.9998292131774463
bike_length,58571,57296,0,9.107900746720762e-4,0.008678721272758459,0,0,0.414006729408013
brt_routes,58571,58529,0,2.9624945072745934e-6,1.6649170990827035e-4,0,0,0.026811415164282364
bus_routes,58571,55563,0,4.7498197471258026e-4,0.006128836846452451,0,0,1.0179197893248781
bus_stops,58571,58030,0,1.2639209013715651e-5,1.9392486453238407e-4,0,0,0.018262201329512978
grade,58571,1771,0.6257,3.1129236755390894,4.9438965677067594,3.8401499999999995,0,38.782
num_lanes_total,58571,0,2,1.948626453364293,0.9773114818707668,0,1,27
pedxwalk_signs,58571,58213,0,7.5142495922074006e-6,1.2900998879660053e-4,0,0,0.010265940667256487
road_marks,58571,50605,0,7.827854330480795e-4,0.002929134356931697,0,0,0.11085395058306885
road_signs,58571,33315,0,0.001549920074842665,0.0025331265997228032,0.0024319188352238627,0,0.03402079585746987
road_width,58571,0,5.75,5.760889742756928,2.3021805238314283,2.7200000000000006,0.14,178.32
school_zone_signs,58571,56943,0,4.3105771025659776e-5,3.094334874750407e-4,0,0,0.00878100899479633
st_dir,58571,0,2,1.924877499103652,0.26359115503574765,0,1,2
stop_signs,58571,51954,0,2.045097835187618e-4,7.465728965491098e-4,0,0,0.019288080173124018
stop_signs_v,58571,52112,0,1.9926068988608e-4,7.381270455055482e-4,0,0,0.019288080173124018
total_st_signs,58571,49004,0,3.373514122642852e-4,0.0010031749963438686,0,0,0.01960150383534657
traffic_fines_tot,58571,50131,0,7.785806918546368e-4,0.013110279874378097,0,0,2.8028223192391346
traffic_lights,58571,58537,0,4.3962348820828616e-7,2.5190747511793324e-5,0,0,0.003473696856544586
trees,58571,39977,0,0.003116191416504476,0.007506883243786156,0.0029114023072908455,0,0.27710958143885855
warning_signs,58571,51384,0,5.291805714776448e-4,0.0021298219860227587,0,0,0.07205506787899475
yield_signs,58571,58523,0,8.006441508836756e-7,3.9697378866684806e-5,0,0,0.00475256973437815
area_median,2462,2077,0,0.03327037232987523,0.0983174953407998,0,0,0.7306703171438178
area_sidewalk,2462,768,0.24965784363163795,0.2340066711813958,0.19703225121588921,0.39201662861055586,0,0.856240472007989
bike_length,2462,2240,0,0.003294363851734179,0.015532011832613575,0,0,0.2948169326224183
brt_routes,2462,2400,0,1.8226181383258552e-4,0.0018006376805144164,0,0,0.04230507243169286
bus_routes,2462,2002,0,0.0031655341331985926,0.01467591604982891,0,0,0.2647686107686985
bus_stops,2462,2375,0,2.549762204260454e-5,2.6703220921200113e-4,0,0,0.008268582703548246
grade,2462,233,0.67085,3.6792133225020307,5.5386707464748035,5.769024999999999,0,33.7892
num_lanes_total,2462,0,2,2.692932575142161,2.8302838577578306,0,1,42
pedxwalk_signs,2462,2440,0,8.019349152763056e-6,1.1512203717742829e-4,0,0,0.003551069017082821
road_marks,2462,2237,0,5.141374387232317e-4,0.0028071442088606928,0,0,0.05864842294346022
road_signs,2462,1854,0,8.390655792011351e-4,0.0023365476122111707,0,0,0.030881412831268593
road_width,2462,0,5.98,6.413034600395942,8.089859605693363,3.6737499999999996,0.96,326.51
school_zone_signs,2462,2444,0,1.4234270828622632e-5,2.8255411064278776e-4,0,0,0.012094213346039205
st_dir,2462,0,2,1.8939886271324127,0.3079147148644454,0,1,2
stop_signs,2462,2378,0,7.600686675240751e-5,6.688595424296589e-4,0,0,0.019588603505297186
stop_signs_v,2462,2381,0,7.29625385192966e-5,6.587228538946921e-4,0,0,0.019588603505297186
total_st_signs,2462,2283,0,1.634699875047367e-4,9.983981287785644e-4,0,0,0.022058152022334708
traffic_fines_tot,2462,1993,0,0.001278195034567615,0.005748320252204774,0,0,0.11447369818113744
traffic_lights,2462,2429,0,8.828855090453791e-6,1.3977645920967027e-4,0,0,0.0045649760477361806
trees,2462,1594,0,0.003438808219305949,0.008916567611285354,0.003726437276477791,0,0.175586629466878
warning_signs,2462,2325,0,2.4074117741175455e-4,0.001656087276144143,0,0,0.03449877121658635
yield_signs,2462,2453,0,6.656648300611899e-6,2.357325990886107e-4,0,0,0.011282683054702801
