,st_dir,num_lanes_total,trees,median,median_barrier,sidewalk,sidewalk_obstruction,lane_marking,sign_traffic,traffic_light,lane_bus,sign_crossing,crosswalk,sign_school_zone,sign_stop,sign_yield,bus_stop,brt_station,speed_bump,lane_bike,road_width
st_dir,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
num_lanes_total,0.065757193,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trees,0.031391543,0.07330422,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
median,-0.006766117,0.277111542,0.358263462,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
median_barrier,-0.012634163,0.086212169,0.049883337,0.143041334,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sidewalk,0.044624293,-0.155135451,0.283839644,0.121899576,0.013509532,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sidewalk_obstruction,-0.017853131,-0.105747837,0.099047972,0.079150779,-0.021390472,0.58932785,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lane_marking,-0.018933104,0.112748009,0.381637506,0.352344822,0.15493823,0.270804057,0.18891492,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sign_traffic,-0.020775429,-0.076616987,0.345881542,0.127644411,0.050839716,0.531637262,0.464532054,0.412128513,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
traffic_light,-0.071470599,0.207683464,0.210106124,0.491124408,0.016338359,0.078135607,0.112141465,0.286812088,0.108892785,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lane_bus,0.021480754,0.261323275,0.093829815,0.436415498,0.117298319,-0.004010523,0.048034835,0.140971981,-0.005575014,0.267117246,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sign_crossing,0.013528768,-0.033400442,0.212525529,0.111565641,0.172415074,0.281985265,0.240493786,0.238793566,0.511449109,0.039484502,-3.82718E-05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
crosswalk,-0.069004621,0.008790114,0.188749109,0.181803555,-0.010803296,0.29881833,0.200086487,0.490235449,0.411689541,0.311119907,0.061852129,0.115438559,1,NA,NA,NA,NA,NA,NA,NA,NA
sign_school_zone,0.017558209,-0.071491408,0.133824163,-0.002183825,-0.015659936,0.311924251,0.311981808,0.229984666,0.601373133,-0.007850892,-0.027706424,0.386414882,0.247908329,1,NA,NA,NA,NA,NA,NA,NA
sign_stop,0.066771625,-0.150285554,0.040159645,-0.026388261,-0.021115543,0.4053529,0.188942336,0.065266219,0.254501945,-0.076119907,-0.055596119,0.101468047,0.187032945,0.127730858,1,NA,NA,NA,NA,NA,NA
sign_yield,-0.042158172,0.142900558,0.190984471,0.29419779,0.09688971,0.01573006,0.007500602,0.205652295,0.120450213,0.153826688,0.13345504,0.045297691,0.076877483,0.025723703,-0.027920888,1,NA,NA,NA,NA,NA
bus_stop,0.02096557,0.054704231,0.233683497,0.232109695,0.00315052,0.258017962,0.314580875,0.250469877,0.330779991,0.181409138,0.043616186,0.22450177,0.115838932,0.153708166,-0.006308537,0.089329821,1,NA,NA,NA,NA
brt_station,-0.006801248,0.155050573,0.073074077,0.243069062,0.05990178,-0.010919792,0.047351706,0.083052388,0.008671049,0.140669998,0.523921118,-0.003630186,0.060004425,-0.019655353,-0.008782815,0.094180194,0.010645234,1,NA,NA,NA
speed_bump,0.023310587,-0.070400776,0.141752374,-0.01798655,-0.014763374,0.228989123,0.18220924,0.287864288,0.408858489,-0.017138845,-0.034949682,0.160158862,0.343777625,0.288701949,0.08827421,0.052889443,0.099943938,-0.025504592,1,NA,NA
lane_bike,-0.010276357,0.166266811,0.265758613,0.351084081,0.032788274,0.034624499,0.030683191,0.237392462,0.106100299,0.247643477,0.158208669,0.054632445,0.086064921,-0.000386527,-0.045591485,0.281042432,0.108142387,0.102847226,0.020676142,1,NA
road_width,-0.121947145,0.255192943,0.036740748,0.080021307,0.024091699,-0.263703229,-0.107209726,0.097721766,-0.030668004,0.125758775,0.028279898,-0.021170012,0.029096559,-0.046794267,-0.222256144,0.070464007,0.034702798,0.027785461,-0.012805075,0.080620266,1
