"","st_dir","num_lanes_total","trees","median","median_barrier","sidewalk","sidewalk_obstruction","lane_marking","sign_traffic","traffic_light","lane_bus","sign_crossing","crosswalk","sign_school_zone","sign_stop","sign_yield","bus_stop","brt_station","speed_bump","lane_bike","road_width"
"st_dir",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"num_lanes_total",0.0657571925445108,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"trees",0.0313915434704299,0.0733042203349636,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"median",-0.00676611651037531,0.277111541651833,0.35826346152653,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"median_barrier",-0.0126341629545098,0.0862121690602836,0.049883336563858,0.143041333807913,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sidewalk",0.0446242932960502,-0.15513545125226,0.283839643955391,0.121899575942863,0.0135095321922983,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sidewalk_obstruction",-0.0178531308942728,-0.105747836932064,0.0990479715242805,0.0791507790172538,-0.0213904716112269,0.589327849697335,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lane_marking",-0.0189331044376426,0.112748008947605,0.381637506123211,0.352344822365708,0.154938230387996,0.270804057237458,0.188914920213321,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sign_traffic",-0.0207754285501148,-0.0766169868895538,0.345881542116883,0.12764441110188,0.0508397164596837,0.531637261853033,0.464532053638271,0.412128512762869,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"traffic_light",-0.0714705988681614,0.207683464106926,0.210106123504294,0.491124407981196,0.0163383588971432,0.0781356066213255,0.112141465166317,0.286812087690341,0.108892784961431,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lane_bus",0.0214807537126549,0.261323275330504,0.0938298151615965,0.436415498172521,0.117298319256531,-0.00401052341855961,0.0480348345466635,0.140971980572984,-0.00557501350518612,0.267117245779284,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sign_crossing",0.0135287678416866,-0.0334004421836004,0.212525528564625,0.111565640922623,0.17241507390434,0.281985265121183,0.240493785806467,0.238793566485769,0.511449109177049,0.0394845015688522,-3.82718302786311e-05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"crosswalk",-0.0690046206481272,0.00879011431029785,0.188749109313256,0.181803554503765,-0.0108032958103037,0.298818330088088,0.200086486775188,0.490235448806257,0.41168954142371,0.311119906792548,0.061852129010452,0.115438559243176,1,NA,NA,NA,NA,NA,NA,NA,NA
"sign_school_zone",0.017558208982648,-0.0714914080404722,0.133824163359049,-0.00218382462177639,-0.015659936420004,0.311924250798727,0.311981807991101,0.229984665881607,0.601373133333447,-0.00785089208044293,-0.0277064243852078,0.38641488217922,0.247908329485786,1,NA,NA,NA,NA,NA,NA,NA
"sign_stop",0.0667716250328231,-0.150285553504164,0.0401596448212813,-0.0263882610055707,-0.0211155431974374,0.405352900014468,0.188942335703618,0.0652662194571418,0.25450194527443,-0.0761199070791125,-0.0555961187355586,0.101468047080486,0.18703294499234,0.1277308575338,1,NA,NA,NA,NA,NA,NA
"sign_yield",-0.0421581716731217,0.142900558393252,0.190984471398466,0.294197789530351,0.096889710415043,0.0157300601680101,0.00750060216092269,0.205652295334961,0.120450213454997,0.153826687670296,0.133455040463748,0.0452976913876617,0.0768774825468321,0.0257237034532816,-0.027920888212471,1,NA,NA,NA,NA,NA
"bus_stop",0.0209655702917024,0.0547042310255495,0.233683497413071,0.232109695140269,0.00315052003709983,0.258017961965122,0.314580875270446,0.250469876675281,0.330779991240764,0.181409137854497,0.0436161861510468,0.224501769631029,0.115838931877003,0.153708166384654,-0.00630853652876641,0.0893298210260109,1,NA,NA,NA,NA
"brt_station",-0.00680124772760931,0.155050573347145,0.0730740770312845,0.243069061532604,0.0599017804841139,-0.0109197917355233,0.0473517056555041,0.0830523882719155,0.00867104948874421,0.140669997894338,0.523921118226538,-0.00363018598241575,0.0600044252264371,-0.0196553534906787,-0.00878281510391989,0.0941801942606081,0.0106452341631315,1,NA,NA,NA
"speed_bump",0.0233105874207409,-0.0704007760406174,0.141752373794081,-0.0179865504787893,-0.0147633737812622,0.228989122783954,0.182209239734498,0.28786428788862,0.408858488814137,-0.0171388452747616,-0.0349496816388766,0.160158862036901,0.343777625352204,0.288701949042148,0.088274210000627,0.0528894432884653,0.0999439382025409,-0.0255045917011408,1,NA,NA
"lane_bike",-0.0102763569651785,0.166266811153157,0.265758612548669,0.351084081071574,0.0327882743713907,0.0346244988543368,0.0306831911373023,0.237392462232304,0.106100298585039,0.247643477215856,0.158208668834057,0.0546324452685482,0.0860649210589478,-0.000386526604459004,-0.0455914848048047,0.281042431792055,0.108142387440413,0.102847225898805,0.02067614207163,1,NA
"road_width",-0.121947144681175,0.255192942888732,0.0367407480252951,0.0800213068589309,0.0240916994845426,-0.263703229153053,-0.107209726231447,0.0977217662676378,-0.0306680042989737,0.125758775301834,0.0282798975632908,-0.0211700115615152,0.0290965586645496,-0.0467942670319176,-0.222256144128693,0.0704640065401249,0.0347027977928504,0.0277854614014401,-0.0128050747805213,0.0806202659911038,1
