feature,total,zero,median,mean,sd,IQR,min,max
brt_station,60108,58508,0,5.115347164663693e-5,5.035864932770446e-4,0,0,0.026825538557512987
bus_stop,60108,44845,0,8.647075905618196e-4,0.002706371088753361,2.0839025429052457e-4,0,0.14542222569591842
crosswalk,60108,32233,0,0.0026595987364668827,0.005484859979084358,0.0032750910040485227,0,0.13669629718109347
lane_bike,60108,55328,0,1.6000077124932895e-4,9.605198621362691e-4,0,0,0.08030572088303466
lane_bus,60108,58067,0,7.22715145467605e-5,5.873597294520269e-4,0,0,0.027834750387583287
lane_marking,60108,28595,8.957075929319895e-4,0.004232798944749964,0.007698318191227867,0.0058631370572110614,0,0.2562756323187757
median,60108,44647,0,0.0015960444127077896,0.005379170503735471,4.6782700016803256e-4,0,0.4818343252982079
median_barrier,60108,58820,0,4.1090898417088155e-5,5.464594773395859e-4,0,0,0.06723636322056609
sidewalk,60108,466,0.02105734850271135,0.029072551878489797,0.029879798397476842,0.02332371966811203,0,1.028191610802736
sidewalk_obstruction,60108,2650,0.015367813949703792,0.028627170419057834,0.04318992536195855,0.028517709493880893,0,1.4053501154531063
sign_crossing,60108,45302,0,5.576988532713931e-4,0.0017171729733787713,0,0,0.047667411609865006
sign_school_zone,60108,42346,0,8.818277687670898e-4,0.002300470742820759,7.594424026315474e-4,0,0.06406786984243774
sign_stop,60108,30967,0,0.0017396966877804149,0.003317204051539327,0.0023453153306049602,0,0.11221577246191258
sign_traffic,60108,10073,0.006421822721650303,0.011211081263602091,0.016338120112031004,0.01222938802612183,0,0.5219871857397252
sign_yield,60108,56551,0,7.24832259295596e-5,5.611155070947865e-4,0,0,0.08030572088303466
speed_bump,60108,41677,0,0.004116807416145446,0.013507339610203811,0.0013486501725267273,0,0.4460808168136398
traffic_light,60108,49533,0,0.0014641275506953467,0.00572923621003517,0,0,0.16162225491106194
trees,60108,14420,0.010641554713510656,0.023955245513589487,0.038112933442175756,0.03205476603610964,0,1.5401185176308607
