feature,total,zero,median,mean,sd,IQR,min,max,road_type
brt_station,4651,3666,0,3.654872389455971e-4,0.0011223937685183804,0,0,0.019244389260778188,arterial
bus_stop,4651,827,0.001228943694124427,0.0021861518323437207,0.0028418644296481005,0.0026560324874298716,0,0.04441167350239653,arterial
crosswalk,4651,1393,8.095655608357286e-4,0.0028990801162097784,0.005234335067467334,0.003519503052975605,0,0.06545936452894123,arterial
lane_bike,4651,2288,1.2262182196351283e-4,8.642439455835117e-4,0.0015307941986053277,0.0011504258705710296,0,0.019823268463143705,arterial
lane_bus,4651,3112,0,7.445904321085089e-4,0.0017538240504438888,4.965192485117953e-4,0,0.027834750387583287,arterial
lane_marking,4651,297,0.0075061703392318106,0.010041403856467304,0.0099743932298883,0.010787493519556069,0,0.1318764078595128,arterial
median,4651,422,0.004697784756198898,0.007255364305441298,0.007987289767530036,0.007931782992153101,0,0.07399551856067103,arterial
median_barrier,4651,3821,0,3.1647927711211146e-4,0.0015673037702641959,0,0,0.06723636322056609,arterial
sidewalk,4651,13,0.013960076495997571,0.017306871976086737,0.014320780547017029,0.014766382352129633,0,0.28867587776557746,arterial
sidewalk_obstruction,4651,134,0.009704114444742014,0.01923698802776452,0.028322098991727516,0.02054218485124789,0,0.5011024186622636,arterial
sign_crossing,4651,2379,0,4.6021640224261595e-4,9.366807011080147e-4,5.644948551983585e-4,0,0.015746436759344812,arterial
sign_school_zone,4651,3192,0,3.206756332669468e-4,8.762107666069144e-4,2.4146779482146546e-4,0,0.015066024531645354,arterial
sign_stop,4651,3345,0,2.0107230483591224e-4,6.617930740624915e-4,1.3725095336543846e-4,0,0.022205836751198266,arterial
sign_traffic,4651,64,0.006128922838066515,0.00851612610803272,0.009329469739839448,0.007632713268665935,0,0.18874961238518526,arterial
sign_yield,4651,2829,0,3.5452259544459355e-4,7.586179749935641e-4,4.36305101429568e-4,0,0.013045781459351166,arterial
speed_bump,4651,3414,0,6.634687917183196e-4,0.0043700018901793635,1.014685409204562e-4,0,0.1280612085189855,arterial
traffic_light,4651,1086,0.002383785109226366,0.007089832529714632,0.011164584212660169,0.009529181066610165,0,0.13115381039566215,arterial
trees,4651,45,0.03539345816276154,0.042595221186426016,0.03479754097526693,0.037464930951242814,0,0.4103240539005959,arterial
brt_station,17747,17457,0,2.9028909696703336e-5,4.3046989089726796e-4,0,0,0.026825538557512987,collector
bus_stop,17747,10228,0,0.0016434538042669887,0.0035555570080181087,0.0019524741037716554,0,0.06658058674609948,collector
