predictor,n,total,percent_street,RR_95CI,p.value,buffer_m
ses_6,1819,100669,1.8069117603234361,"0.2 (0.16,0.23)",7.512805006371129e-72,100
ses_5,2600,100669,2.582721592545868,"1.07 (0.85,1.34)",0.5823529847836885,100
ses_4,7394,100669,7.344862867416981,"1.24 (1.01,1.51)",0.03510128190020426,100
ses_3,34547,100669,34.31741648372389,"1.42 (1.18,1.7)",1.8267732556893142e-4,100
ses_2,40763,100669,40.492107798825856,"0.93 (0.78,1.12)",0.45410587548670384,100
ses_1,13546,100669,13.455979497163973,"0.32 (0.27,0.39)",5.713656742754442e-29,100
ses_6,1646,100818,1.632644964192902,"0.2 (0.17,0.24)",3.048890734412897e-63,500
ses_5,2466,100818,2.4459917871808607,"1.18 (0.93,1.5)",0.16722122769202422,500
ses_4,7901,100818,7.836894205399829,"1.19 (0.97,1.46)",0.08900115384313687,500
ses_3,35699,100818,35.40935150469162,"1.36 (1.12,1.64)",0.0017476775618478317,500
ses_2,41189,100818,40.854807673232955,"0.87 (0.72,1.06)",0.16723505350612206,500
ses_1,11917,100818,11.820309865301832,"0.34 (0.27,0.42)",1.3853773089643e-24,500
