feature,mean,sd,min,max,median,IQR
administra,0.7849611680338031,9.491131245518368,0,1080,0,0
area_calle,856.1353520111555,1732.5510484451786,2.69400181319e-5,221177.878376,483.283495878,667.5433748335
area_median,76.115224030662,752.9834776610566,-3.57999965672e-7,112610.48317,0,0
area_roadway,481.8281505533343,808.9875035065905,-1.00000008274e-11,88474.4336637,295.800475149,371.4090512484999
area_sidewalk,274.60086520476176,409.28323504098734,-1.11000076686e-7,20018.2262571,169.651948751,286.45441516079995
bike_length,5.125869026905614,33.911853096907265,0,1809.3294138,0,0
bike_signs,0.005703290054454021,0.08749052247829171,0,5,0,0
brt_routes,0.32013806921314436,3.1919601206456667,0,115,0,0
bus_lanes,0.006943135718465766,0.08386811710326639,0,2,0,0
bus_routes,2.622085122843908,10.178042717757533,0,316,0,0
bus_signs,0.01936142988920739,0.19784307992748099,0,18,0,0
bus_stops,0.06389668614050924,0.32028835941916567,0,19,0,0
driving_be,0.24698717503645146,3.298248333196362,0,395,0,0
grade,3.027607750523215,4.876274563725061,0,39.8728,0.6178,3.4981000000000004
lturn_sign,0.010999910731112192,0.13049412282687867,0,6,0,0
mobile_pho,0.07778295757744076,0.6639684285719534,0,93,0,0
no_data,0.019073785695156668,0.3806546281126643,0,38,0,0
not_resp_p,0.03746317658377885,0.8036985117594726,0,133,0,0
not_stoppi,0.0452494073537726,0.729725888998581,0,102,0,0
num_lanes_avg,1.7701921264840952,0.6709274467627302,0,6,2,1
num_lanes_total,2.3188684672531963,2.591863981262708,0,113,2,0
parking_signs,0.10082424939743499,0.5234878903614358,0,17,0,0
parking_vi,1.100397742489015,7.497844833116238,0,1221,0,0
ped_br,0.00675467917753598,0.0819092182414873,0,1,0,0
ped_collision,0.20440591555163215,0.9463247797175626,0,46,0,0
pedest_bic,0.44026423590791425,5.642251289755055,0,702,0,0
pedxwalk_signs,0.019619317787321833,0.1873097304595935,0,8,0,0
road_marks,0.9584205358117023,3.6463783531865572,0,338,0,0
road_segments,1.2030569634691874,1.0323432019911805,0,42,1,0
road_signs,1.5979924419008322,3.2383580684553475,0,150,0,2
road_signs_inv,0.510251043950049,1.412810672865389,0,55,0,0
road_width,6.1880697585864475,2.858042547693713,0,326.51,6.14,2.9699999999999998
safety_dev,0.06605897697854571,0.7733743912940957,0,99,0,0
school_zone_signs,0.04478322538410419,0.26542747055144605,0,8,0,0
si_act_cic,0.1134508376397306,0.6156485071537953,0,42,0,0
si_act_tot,3.663029786052232,17.682222826774712,0,1140,0,2
si_veh_bic,0.1134508376397306,0.6156485071537953,0,42,0,0
sin_veh_to,3.2233606760630438,16.08768091323726,0,1076,0,2
sini_herid,0.6275404437655601,2.647780175917883,0,102,0,0
sini_muert,0.03078784752873962,0.23395854296462482,0,14,0,0
sini_solod,1.2041678651841417,6.608096437663384,0,510,0,0
sini_total,1.8624961564784415,8.969560865573131,0,603,0,1
smoking_dr,0.005752883881014492,0.08720337747995159,0,6,0,0
speed_bump_signs,9.720390005852073e-4,0.040565829267688765,0,5,0,0
speed_limit,19.47093305825291,14.773773822516318,0,50,30,30
speeding,0.5844533272498241,43.703541509588426,0,9340,0,0
st_dir,NA,NA,NA,NA,NA,0
stop_signs,0.12241740148186354,0.408103999631921,0,7,0,0
stop_signs_v,0.11648597982523136,0.3949480192597026,0,7,0,0
tehcnical,0.23998452672611312,2.8330813964885886,0,280,0,0
total_gene,4.631934456798818,59.12488114484811,0,9564,0,1
total_st_signs,0.3287178012081056,0.9125990503084245,0,19,0,0
traffic_fines_tot,3.0700463206340074,53.1910990340888,0,9551,0,0
traffic_lights,0.014362372171912042,0.12218799539270117,0,2,0,0
traffic_si,0.9729515269939198,13.116437684037301,0,1348,0,0
trees,3.969519634195935,17.502894038037176,0,2155,0,3
under_infl,0.01055356629206796,0.8053214459645105,0,240,0,0
veh_br,0.010017952965214889,0.0995876094444513,0,1,0,0
warning_signs,0.47652724188892964,1.7003534882319233,0,75,0,0
yield_signs,0.004036937482022237,0.07863200864456733,0,5,0,0
