predictor,RR_95CI,p.value,outcome
profile_1+ses_6,"7.66 (5.52,10.87)",5.225095649607092e-32,injury
profile_2,"1.24 (1.03,1.48)",0.01995975716508951,injury
profile_3,"1.17 (0.96,1.42)",0.11401839841382128,injury
profile_4,"1.03 (0.86,1.23)",0.7484425116972533,injury
ses_5,"1.16 (0.77,1.76)",0.4739365723754422,injury
ses_4,"1.71 (1.18,2.44)",0.003669229694381795,injury
ses_3,"2.53 (1.78,3.52)",9.18734749342668e-8,injury
ses_2,"2.79 (1.95,3.9)",6.248299378147605e-9,injury
ses_1,"1.33 (0.89,1.96)",0.15487620184773676,injury
profile_1+ses_6,"0.68 (0.39,1.17)",0.16925127508038806,death
profile_2,"1.28 (0.98,1.67)",0.0755045690702249,death
profile_3,"1.46 (1.1,1.94)",0.008442677452285413,death
profile_4,"1.39 (1.07,1.81)",0.012733802983775596,death
ses_5,"0.7 (0.34,1.42)",0.32154415826682053,death
ses_4,"1.27 (0.72,2.3)",0.4121274877055115,death
ses_3,"2.09 (1.22,3.65)",0.007943057834555328,death
ses_2,"1.8 (1.05,3.17)",0.035939953755399844,death
ses_1,"0.87 (0.46,1.66)",0.6697325297511333,death
profile_1+ses_6,"8.42 (6.08,11.93)",3.468716471070741e-35,total
profile_2,"1.24 (1.03,1.48)",0.019398504407455032,total
profile_3,"1.18 (0.98,1.44)",0.0848852765815678,total
profile_4,"1.05 (0.88,1.25)",0.5771028359901964,total
ses_5,"1.12 (0.74,1.68)",0.5989974285412265,total
ses_4,"1.66 (1.15,2.37)",0.005726562876471849,total
ses_3,"2.48 (1.75,3.45)",1.541511828356209e-7,total
ses_2,"2.68 (1.88,3.75)",1.939005953947931e-8,total
ses_1,"1.28 (0.86,1.89)",0.2131933250381059,total
