term,predictor,RR_95CI,p.value,outcome
(Intercept),profile_1+ses_6,"0 (0,0)",0,injury
clus2,profile_2,"1.05 (0.89,1.24)",0.5575349533858083,injury
clus3,profile_3,"1.28 (1.07,1.54)",0.005306216423403022,injury
clus4,profile_4,"1.41 (1.2,1.66)",2.7082671850718152e-5,injury
ses_cat_r5,(Covariates),"0.83 (0.56,1.22)",0.33692736482401336,injury
ses_cat_r4,(Covariates),"0.83 (0.59,1.16)",0.26767826864285194,injury
ses_cat_r3,(Covariates),"1.49 (1.07,2.04)",0.014010200854758627,injury
ses_cat_r2,(Covariates),"1.62 (1.15,2.25)",0.004115431283540318,injury
ses_cat_r1,(Covariates),"1.3 (0.88,1.91)",0.16077628613067518,injury
pop_density,(Covariates),"0.99 (0.93,1.06)",0.8555818049281376,injury
(Intercept),profile_1+ses_6,"0 (0,0)",7.896439132618372e-284,death
clus2,profile_2,"1.1 (0.84,1.44)",0.49632046904293364,death
clus3,profile_3,"1.67 (1.25,2.23)",3.3504649017297743e-4,death
clus4,profile_4,"1.77 (1.36,2.31)",1.6845839357673036e-5,death
ses_cat_r5,(Covariates),"0.56 (0.27,1.15)",0.11571744117054895,death
ses_cat_r4,(Covariates),"0.84 (0.47,1.55)",0.5826452678677527,death
ses_cat_r3,(Covariates),"1.6 (0.92,2.84)",0.10768937731547272,death
ses_cat_r2,(Covariates),"1.42 (0.8,2.56)",0.24568026382793592,death
ses_cat_r1,(Covariates),"0.91 (0.47,1.79)",0.7848495681955341,death
pop_density,(Covariates),"0.83 (0.75,0.91)",1.1173236017758571e-4,death
(Intercept),profile_1+ses_6,"0 (0,0)",0,total
clus2,profile_2,"1.05 (0.89,1.24)",0.5693629945305178,total
clus3,profile_3,"1.31 (1.09,1.57)",0.00285974707538259,total
clus4,profile_4,"1.44 (1.22,1.69)",1.1603322354703854e-5,total
ses_cat_r5,(Covariates),"0.8 (0.54,1.18)",0.25423373075928685,total
ses_cat_r4,(Covariates),"0.83 (0.58,1.16)",0.2627872773208597,total
ses_cat_r3,(Covariates),"1.5 (1.08,2.06)",0.012145842461177078,total
ses_cat_r2,(Covariates),"1.62 (1.15,2.25)",0.004071104413867341,total
ses_cat_r1,(Covariates),"1.31 (0.88,1.91)",0.15687952546373002,total
pop_density,(Covariates),"0.98 (0.92,1.04)",0.4944511724153758,total
