predictor,n,total,percent_zat,RR_95CI,p.value,outcome
profile_1,166,863,19.235225955967554,"15.14 (13.1,17.6)",2.6673304052333513e-284,total
profile_2,245,863,28.389339513325606,"1.25 (1.04,1.5)",0.01847447225327292,total
profile_3,181,863,20.973348783314023,"1.35 (1.11,1.64)",0.002472780007345597,total
profile_4,271,863,31.402085747392817,"1.7 (1.41,2.03)",1.4688078998316055e-8,total
profile_1,166,863,19.235225955967554,"14.09 (12.19,16.39)",1.682869788707924e-268,injury
profile_2,245,863,28.389339513325606,"1.25 (1.04,1.5)",0.01911128764740217,injury
profile_3,181,863,20.973348783314023,"1.34 (1.1,1.63)",0.0035707379349574804,injury
profile_4,271,863,31.402085747392817,"1.69 (1.4,2.02)",2.255036668507607e-8,injury
profile_1,166,863,19.235225955967554,"1.04 (0.83,1.3)",0.7561563372105526,death
profile_2,245,863,28.389339513325606,"1.25 (0.95,1.65)",0.11281360615854771,death
profile_3,181,863,20.973348783314023,"1.52 (1.14,2.03)",0.004202703275073742,death
profile_4,271,863,31.402085747392817,"1.82 (1.39,2.38)",1.1766915531619298e-5,death
