term,predictor,RR_95CI,p.value,outcome
(Intercept),profile_1,"0 (0,0)",0,injury
clus2,profile_2,"1.07 (0.89,1.29)",0.4653727306745086,injury
clus3,profile_3,"1.2 (0.99,1.47)",0.05848233526784893,injury
clus4,profile_4,"1.13 (0.94,1.34)",0.1739611048198659,injury
ses_cat_r5,(Covariates),"0.88 (0.59,1.3)",0.4991036521919088,injury
ses_cat_r4,(Covariates),"0.95 (0.67,1.33)",0.7697593467295675,injury
ses_cat_r3,(Covariates),"1.78 (1.28,2.44)",3.302441192102085e-4,injury
ses_cat_r2,(Covariates),"2 (1.41,2.8)",4.884865530071534e-5,injury
ses_cat_r1,(Covariates),"1.74 (1.17,2.57)",0.0038725663906652072,injury
pop_density,(Covariates),"0.99 (0.93,1.06)",0.7582557134114257,injury
(Intercept),profile_1,"0 (0,0)",2.2447086928043193e-245,death
clus2,profile_2,"1 (0.73,1.36)",0.9769829858178349,death
clus3,profile_3,"1.13 (0.81,1.58)",0.436696441966746,death
clus4,profile_4,"1.04 (0.77,1.39)",0.7931824308676847,death
ses_cat_r5,(Covariates),"0.59 (0.29,1.23)",0.16532383090566855,death
ses_cat_r4,(Covariates),"1.08 (0.6,1.98)",0.8121546932186009,death
ses_cat_r3,(Covariates),"2.2 (1.26,3.91)",0.007337951033955273,death
ses_cat_r2,(Covariates),"2.05 (1.14,3.76)",0.019573137027311813,death
ses_cat_r1,(Covariates),"1.43 (0.72,2.85)",0.3070618521892926,death
pop_density,(Covariates),"0.81 (0.73,0.9)",2.3431511233204668e-5,death
(Intercept),profile_1,"0 (0,0)",0,total
clus2,profile_2,"1.06 (0.88,1.28)",0.5167539382248407,total
clus3,profile_3,"1.2 (0.98,1.46)",0.06700572078970846,total
clus4,profile_4,"1.11 (0.93,1.33)",0.22050538154098814,total
ses_cat_r5,(Covariates),"0.85 (0.57,1.25)",0.39765240724606415,total
ses_cat_r4,(Covariates),"0.96 (0.68,1.34)",0.8069884201786702,total
ses_cat_r3,(Covariates),"1.82 (1.3,2.49)",2.0116942502682557e-4,total
ses_cat_r2,(Covariates),"2.03 (1.43,2.84)",3.454197949715078e-5,total
ses_cat_r1,(Covariates),"1.77 (1.19,2.62)",0.0028853239859341516,total
pop_density,(Covariates),"0.97 (0.91,1.04)",0.4181836647473986,total
