predictor,n,total,percent_zat,RR_95CI,p.value,outcome
profile_1,172,863,19.930475086906142,"15.51 (13.46,17.97)",7.738716875071456e-302,total
profile_2,238,863,27.578215527230594,"1.21 (1.01,1.45)",0.038789291193371024,total
profile_3,181,863,20.973348783314023,"1.32 (1.09,1.6)",0.004834300891486827,total
profile_4,272,863,31.517960602549245,"1.65 (1.38,1.98)",4.8729000994858645e-8,total
profile_1,172,863,19.930475086906142,"14.46 (12.54,16.76)",1.5044748391529127e-285,injury
profile_2,238,863,27.578215527230594,"1.21 (1.01,1.45)",0.04236203232474575,injury
profile_3,181,863,20.973348783314023,"1.3 (1.07,1.58)",0.007143122822624958,injury
profile_4,272,863,31.517960602549245,"1.64 (1.37,1.96)",7.97443388773849e-8,injury
profile_1,172,863,19.930475086906142,"1.04 (0.84,1.3)",0.7157018767094894,death
profile_2,238,863,27.578215527230594,"1.25 (0.95,1.65)",0.10689872878831487,death
profile_3,181,863,20.973348783314023,"1.51 (1.14,2.01)",0.00417144768118423,death
profile_4,272,863,31.517960602549245,"1.8 (1.39,2.35)",1.1686049277231724e-5,death
