predictor,n,total,percent_zat,RR_95CI,p.value,outcome
profile_1,184,863,21.320973348783316,"15.96 (13.93,18.39)",0,total
profile_2,197,863,22.827346465816916,"1.22 (1.01,1.46)",0.03913948326103845,total
profile_3,204,863,23.638470451911935,"1.27 (1.06,1.53)",0.01037128729248401,total
profile_4,278,863,32.21320973348784,"1.56 (1.31,1.86)",6.854769719894021e-7,total
profile_1,184,863,21.320973348783316,"14.89 (12.99,17.16)",0,injury
profile_2,197,863,22.827346465816916,"1.21 (1.01,1.46)",0.04145668982960704,injury
profile_3,204,863,23.638470451911935,"1.26 (1.05,1.51)",0.014674792897321633,injury
profile_4,278,863,32.21320973348784,"1.54 (1.29,1.84)",1.2526285483251316e-6,injury
profile_1,184,863,21.320973348783316,"1.05 (0.85,1.3)",0.6428377040424575,death
profile_2,197,863,22.827346465816916,"1.25 (0.95,1.65)",0.11035853916726454,death
profile_3,204,863,23.638470451911935,"1.48 (1.13,1.94)",0.004587407775546775,death
profile_4,278,863,32.21320973348784,"1.77 (1.37,2.28)",1.1229513873012515e-5,death
