term,predictor,RR_95CI,p.value,outcome
(Intercept),profile_1,"0 (0,0)",0,injury
clus2,profile_2,"1.04 (0.87,1.25)",0.6481560324867568,injury
clus3,profile_3,"1.35 (1.12,1.62)",0.001041565856643864,injury
clus4,profile_4,"1.05 (0.89,1.24)",0.5439715180709811,injury
ses_cat_r5,(Covariates),"0.89 (0.6,1.31)",0.5395028758556195,injury
ses_cat_r4,(Covariates),"0.92 (0.65,1.29)",0.6338855797238103,injury
ses_cat_r3,(Covariates),"1.77 (1.27,2.42)",3.6292836615519725e-4,injury
ses_cat_r2,(Covariates),"2.06 (1.46,2.87)",1.6093773110237687e-5,injury
ses_cat_r1,(Covariates),"1.79 (1.22,2.62)",0.0019212058080903482,injury
pop_density,(Covariates),"0.99 (0.93,1.06)",0.7789428160231813,injury
(Intercept),profile_1,"0 (0,0)",2.8635063209858465e-255,death
clus2,profile_2,"1 (0.74,1.36)",0.9941867100615008,death
clus3,profile_3,"1.24 (0.91,1.7)",0.1454200555199189,death
clus4,profile_4,"1.05 (0.79,1.39)",0.7213851874930394,death
ses_cat_r5,(Covariates),"0.6 (0.29,1.24)",0.1705087639595751,death
ses_cat_r4,(Covariates),"1.06 (0.59,1.94)",0.8572318944440839,death
ses_cat_r3,(Covariates),"2.17 (1.24,3.87)",0.00859697603888581,death
ses_cat_r2,(Covariates),"2.08 (1.16,3.8)",0.016737773599452714,death
ses_cat_r1,(Covariates),"1.46 (0.75,2.91)",0.26783227024275763,death
pop_density,(Covariates),"0.81 (0.73,0.9)",4.7320779533200076e-5,death
(Intercept),profile_1,"0 (0,0)",0,total
clus2,profile_2,"1.03 (0.86,1.24)",0.7059971508927645,total
clus3,profile_3,"1.34 (1.12,1.61)",0.0012855975049600704,total
clus4,profile_4,"1.04 (0.88,1.23)",0.6143690967560989,total
ses_cat_r5,(Covariates),"0.86 (0.58,1.27)",0.4275172419124235,total
ses_cat_r4,(Covariates),"0.93 (0.66,1.3)",0.6633710439486391,total
ses_cat_r3,(Covariates),"1.8 (1.29,2.47)",2.3576599075079968e-4,total
ses_cat_r2,(Covariates),"2.09 (1.48,2.91)",1.1724646990851241e-5,total
ses_cat_r1,(Covariates),"1.83 (1.24,2.67)",0.001409916325205994,total
pop_density,(Covariates),"0.98 (0.91,1.04)",0.426953717233072,total
