an_var,gis_var,sensitivity,specificity,ppv,npv
an_sign_traff_yn,gis_road_signs_inv_yn,0.8989169675090253,0.8989169675090253,0.5066124109867751,0.5066124109867751
an_sign_traff_yn,gis_total_st_signs_yn,0.9088872292755787,0.9088872292755787,0.41268226517463547,0.41268226517463547
an_traffic_li_yn,gis_traffic_lights_yn,0.7428571428571429,0.7428571428571429,0.2203389830508475,0.2203389830508474
an_pedxwalk_yn,gis_pedxwalk_signs_yn,0.5714285714285714,0.5714285714285714,0.06191117092866757,0.06191117092866759
an_sign_stop_yn,gis_stop_signs_yn,0.48375451263537905,0.48375451263537905,0.252235294117647,0.252235294117647
an_sign_stop_yn,gis_stop_signs2_yn,0.4731457800511509,0.4731457800511509,0.26117647058823523,0.26117647058823523
an_sign_yield_yn,gis_yield_signs_yn,0.3565217391304348,0.3565217391304348,0.11581920903954804,0.11581920903954791
an_sign_schoo_yn,gis_school_zone_signs_yn,0.4021543985637343,0.4021543985637343,0.17848605577689247,0.17848605577689253
an_sidewalk_yn,gis_sw,0.9861567004424148,0.9861567004424148,0.9702330805953383,0.9702330805953384
an_lane_bike_yn,gis_bike_lane,0.3813488759367194,0.3813488759367194,0.8178571428571432,0.8178571428571432
an_lane_bus_yn,gis_any_bus,0.2865853658536585,0.2865853658536585,0.19502074688796708,0.1950207468879669
an_median_yn,gis_median,0.8673527730131504,0.8673527730131504,0.7115384615384616,0.7115384615384616
an_speed_bump_yn,gis_speed_bump_signs_yn,0.19047619047619047,0.19047619047619047,0.003060443764345831,0.003060443764345861
an_trees_yn,gis_trees_yn,0.9780052264808362,0.9780052264808362,0.7250565062964158,0.7250565062964158
an_bus_stop_yn,gis_bus_stops_yn,0.624113475177305,0.624113475177305,0.5146198830409358,0.5146198830409358
an_parked_veh_yn,gis_parking_signs_yn,0.9207708779443254,0.9207708779443254,0.13543307086614173,0.13543307086614167
an_lane_parki_yn,gis_parking_signs_yn,0.09207708779443255,0.09207708779443255,0.19953596287703015,0.19953596287703007
an_brt_statio_yn,gis_brt_yn,0.3277310924369748,0.3277310924369748,0.7697368421052623,0.7697368421052624
