var,var_reference,sensitivity,specificity,ppv,npv,kappa_est,kappa_se,kappa_lower,kappa_upper,auc
an_sign_traff_yn,gis_road_signs_inv_yn,0.8989169675090253,0.27395209580838326,0.5066124109867751,0.7656903765690377,0.16215448957607248,0.010978111618590929,0.14063778618537354,0.18367119296677142,0.5864345316587043
an_sign_traff_yn,gis_total_st_signs_yn,0.9088872292755787,0.2556940266437473,0.41268226517463547,0.8298465829846582,0.13111370367046576,0.01003173269392821,0.11145186888783351,0.15077553845309802,0.582290627959663
an_traffic_li_yn,gis_traffic_lights_yn,0.7428571428571429,0.8820008550662677,0.2203389830508475,0.9870813397129187,0.2930185134268168,0.021947438084043144,0.2500023252291695,0.3360347016244641,0.8124289989617053
an_pedxwalk_yn,gis_pedxwalk_signs_yn,0.5714285714285714,0.6022824536376605,0.06191117092866757,0.968348623853211,0.03526489321708589,0.01382553481549103,0.008167342911718858,0.06236244352245292,0.586855512533116
an_sign_stop_yn,gis_stop_signs_yn,0.48375451263537905,0.7446979434447301,0.252235294117647,0.8901478778567313,0.16587759660835022,0.015068792173930352,0.1363433066569277,0.19541188655977274,0.6142262280400546
an_sign_stop_yn,gis_stop_signs2_yn,0.4731457800511509,0.7450884883909725,0.26117647058823523,0.8813136162857692,0.16426972185312896,0.014965172586877127,0.13493852256042368,0.19360092114583424,0.6091171342210617
an_sign_yield_yn,gis_yield_signs_yn,0.3565217391304348,0.9566301787446307,0.11581920903954804,0.9893952421897392,0.1548285401788586,0.041813280082832714,0.07287601714102054,0.23678106321669667,0.6565759589375327
an_sign_schoo_yn,gis_school_zone_signs_yn,0.4021543985637343,0.8478228782287823,0.17848605577689247,0.9452032252756295,0.1587098866928779,0.020551417364301418,0.11842984882759604,0.19898992455815973,0.6249886383962584
an_sidewalk_yn,gis_sw,0.9861567004424148,0.3476923076923077,0.9702330805953383,0.5380952380952391,0.401606922126081,0.033316350884195337,0.33630807429675896,0.46690576995540306,0.6669245040673613
an_lane_bike_yn,gis_bike_lane,0.3813488759367194,0.9833632360137009,0.8178571428571432,0.8902835203780272,0.4643562997102328,0.017332386617787895,0.43038544617324453,0.49832715324722104,0.6823560559752101
an_lane_bus_yn,gis_any_bus,0.2865853658536585,0.9729352678571429,0.19502074688796708,0.9835002115357495,0.21109793344339708,0.043775504264937246,0.12529952167904057,0.2968963452077536,0.6297603168554007
an_median_yn,gis_median,0.8673527730131504,0.8898441698011822,0.7115384615384616,0.9553846153846154,0.7042443964012154,0.009557296042637435,0.6855124403680588,0.722976352434372,0.8785984714071663
an_speed_bump_yn,gis_speed_bump_signs_yn,0.19047619047619047,0.8217754069210779,0.003060443764345831,0.9971784232365145,3.8855600319005567e-4,0.02491394559221916,-0.04844188007034991,0.04921899207673003,0.5061257986986342
an_trees_yn,gis_trees_yn,0.9780052264808362,0.3784671532846715,0.7250565062964158,0.9112478031634444,0.40411877936624224,0.01218187730940177,0.3802427385757291,0.4279948201567554,0.6782361898827539
an_bus_stop_yn,gis_bus_stops_yn,0.624113475177305,0.8929722759509994,0.5146198830409358,0.9289067739771965,0.475682087781732,0.01466899856511184,0.4469313789048431,0.504432796658621,0.7585428755641521
an_parked_veh_yn,gis_parking_signs_yn,0.9207708779443254,0.1419193497968115,0.13543307086614173,0.924643584521385,0.018034642766568694,0.006464463804400595,0.005364526530580751,0.030704759002556637,0.5313451138705685
an_lane_parki_yn,gis_parking_signs_yn,0.09207708779443255,0.9460768990309472,0.19953596287703015,0.8771192580785393,0.049548237805810795,0.02517952000534198,1.9728544733473713e-4,0.09889919016428686,0.5190769934126899
an_brt_statio_yn,gis_brt_yn,0.3277310924369748,0.9949820788530466,0.7697368421052623,0.9665738161559888,0.44354291202331425,0.03292032866066183,0.3790202534891954,0.5080655705574332,0.6613565856450107
