CodigoCL,TIPO_SENAL,FASE,ACCION,n
CL100490,SI-07,PROGRAMACION,RETIRAR,1
CL100517,SI-07,INVENTARIO,INVENTARIO,1
CL10052,SI-07,INVENTARIO,INVENTARIO,1
CL10052,SI-07,PROGRAMACION,RETIRAR,1
CL100606,SI-07,IMPLEMENTACION,INSTALACION,1
CL100795,SI-07,INVENTARIO,INVENTARIO,1
CL100795,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL100795,SI-07,PROGRAMACION,REEMPLAZAR,2
CL10100,SI-07,IMPLEMENTACION,INSTALACION,1
CL1309,SI-07,INVENTARIO,INVENTARIO,1
CL2081,SI-07,INVENTARIO,INVENTARIO,1
CL24144,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL24695,SI-07,PROGRAMACION,REEMPLAZAR,1
CL2688,SI-07,IMPLEMENTACION,INSTALACION,1
CL2697,SI-07,INVENTARIO,INVENTARIO,1
CL2703,SI-07,PROGRAMACION,RETIRAR,1
CL2709,SI-07,PROGRAMACION,RETIRAR,1
CL2763,SI-07,IMPLEMENTACION,INSTALACION,1
CL2801,SI-07,INVENTARIO,INVENTARIO,2
CL2857,SI-07,INVENTARIO,INVENTARIO,1
CL2866,SI-07,INVENTARIO,INVENTARIO,1
CL2876,SI-07,INVENTARIO,INVENTARIO,2
CL2946,SI-07,INVENTARIO,INVENTARIO,1
CL3007,SI-07,INVENTARIO,INVENTARIO,2
CL3061,SI-07,PROGRAMACION,RETIRAR,1
CL3077,SI-07,PROGRAMACION,RETIRAR,1
CL3080,SI-07,PROGRAMACION,RETIRAR,1
CL3194,SI-07,IMPLEMENTACION,INSTALACION,1
CL3221,SI-07,PROGRAMACION,RETIRAR,1
CL32542,SI-07,IMPLEMENTACION,INSTALACION,1
CL3260,SI-07,PROGRAMACION,RETIRAR,1
CL3354,SI-07,INVENTARIO,INVENTARIO,1
CL3410,SI-07,IMPLEMENTACION,REUBICAR,1
CL3411,SI-07,INVENTARIO,INVENTARIO,1
CL3411,SI-07,PROGRAMACION,RETIRAR,1
CL3412,SI-07,PROGRAMACION,RETIRAR,3
CL3450,SI-07,INVENTARIO,INVENTARIO,1
CL3450,SI-07,PROGRAMACION,RETIRAR,1
CL3485,SI-07,IMPLEMENTACION,INSTALACION,1
CL3499,SI-07,PROGRAMACION,RETIRAR,1
CL3523,SI-07,IMPLEMENTACION,INSTALACION,1
CL3538,SI-07,IMPLEMENTACION,INSTALACION,2
CL3550,SI-07,INVENTARIO,INVENTARIO,1
CL3576,SI-07,INVENTARIO,INVENTARIO,1
CL3586,SI-07,INVENTARIO,INVENTARIO,1
CL3604,SI-07,PROGRAMACION,RETIRAR,1
CL3644,SI-07,IMPLEMENTACION,INSTALACION,1
CL3644,SI-07,INVENTARIO,INVENTARIO,2
CL3653,SI-07,INVENTARIO,INVENTARIO,1
CL3653,SI-07,PROGRAMACION,REEMPLAZAR,1
CL3664,SI-07,PROGRAMACION,REEMPLAZAR,1
CL3665,SI-07,PROGRAMACION,RETIRAR,1
CL3672,SI-07,IMPLEMENTACION,REUBICAR,1
CL3675,SI-07,PROGRAMACION,REEMPLAZAR,1
CL3688,SI-07,INVENTARIO,INVENTARIO,1
CL3693,SI-07,IMPLEMENTACION,INSTALACION,1
CL3697,SI-07,INVENTARIO,INVENTARIO,1
CL3706,SI-07,IMPLEMENTACION,REUBICAR,1
CL37122,SI-07,PROGRAMACION,REEMPLAZAR,1
CL3714,SI-07,IMPLEMENTACION,REUBICAR,1
CL3720,SI-07,PROGRAMACION,RETIRAR,1
CL3749,SI-07,PROGRAMACION,RETIRAR,1
CL3767,SI-07,PROGRAMACION,RETIRAR,1
CL3772,SI-07,INVENTARIO,INVENTARIO,1
CL3777,SI-07,PROGRAMACION,RETIRAR,1
CL3782,SI-07,IMPLEMENTACION,REUBICAR,1
CL3800,SI-07,INVENTARIO,INVENTARIO,1
CL3807,SI-07,PROGRAMACION,RETIRAR,1
CL3811,SI-07,IMPLEMENTACION,INSTALACION,1
CL38446,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL38538,SI-07,INVENTARIO,INVENTARIO,1
CL38609,SI-07,IMPLEMENTACION,REUBICAR,1
CL38699,SI-07,INVENTARIO,INVENTARIO,1
CL38792,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL3898,SI-07,PROGRAMACION,RETIRAR,1
CL39023,SI-07,INVENTARIO,INVENTARIO,1
CL3908,SI-07,IMPLEMENTACION,REUBICAR,2
CL3908,SI-07,INVENTARIO,INVENTARIO,2
CL3908,SI-07,PROGRAMACION,RETIRAR,1
CL3948,SI-07,IMPLEMENTACION,REUBICAR,1
CL3956,SI-07,PROGRAMACION,REEMPLAZAR,1
CL3956,SI-07,PROGRAMACION,RETIRAR,1
CL3984,SI-07,PROGRAMACION,RETIRAR,1
CL4008,SI-07,PROGRAMACION,REEMPLAZAR,1
CL4008,SI-07,PROGRAMACION,RETIRAR,1
CL40321,SI-07,IMPLEMENTACION,INSTALACION,1
CL40321,SI-07,PROGRAMACION,REEMPLAZAR,2
CL40415,SI-07,INVENTARIO,INVENTARIO,1
CL4053,SI-07,PROGRAMACION,RETIRAR,1
CL40589,SI-07,INVENTARIO,INVENTARIO,1
CL4099,SI-07,PROGRAMACION,RETIRAR,1
CL41251,SI-07,IMPLEMENTACION,INSTALACION,1
CL4166,SI-07,PROGRAMACION,REEMPLAZAR,1
CL4178,SI-07,PROGRAMACION,RETIRAR,1
CL4188,SI-07,INVENTARIO,INVENTARIO,1
CL42073,SI-07,IMPLEMENTACION,INSTALACION,1
CL42207,SI-07,IMPLEMENTACION,INSTALACION,1
CL42336,SI-07,IMPLEMENTACION,INSTALACION,1
CL42448,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL4254,SI-07,INVENTARIO,INVENTARIO,1
CL4256,SI-07,PROGRAMACION,REEMPLAZAR,1
CL4266,SI-07,INVENTARIO,INVENTARIO,1
CL4276,SI-07,IMPLEMENTACION,INSTALACION,1
CL4292,SI-07,PROGRAMACION,RETIRAR,1
CL4333,SI-07,INVENTARIO,INVENTARIO,1
CL4333,SI-07,PROGRAMACION,RETIRAR,1
CL4450,SI-07,IMPLEMENTACION,INSTALACION,1
CL4462,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL4528,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL4553,SI-07,IMPLEMENTACION,REUBICAR,3
CL4553,SI-07,INVENTARIO,INVENTARIO,1
CL4553,SI-07,PROGRAMACION,RETIRAR,2
CL4554,SI-07,IMPLEMENTACION,REUBICAR,1
CL4554,SI-07,PROGRAMACION,RETIRAR,1
CL46419,SI-07,IMPLEMENTACION,INSTALACION,1
CL4648,SI-07,INVENTARIO,INVENTARIO,1
CL4652,SI-07,PROGRAMACION,RETIRAR,1
CL4654,SI-07,PROGRAMACION,REEMPLAZAR,1
CL46681,SI-07,INVENTARIO,INVENTARIO,1
CL46817,SI-07,PROGRAMACION,RETIRAR,1
CL46863,SI-07,PROGRAMACION,REEMPLAZAR,1
CL47018,SI-07,PROGRAMACION,RETIRAR,1
CL47028,SI-07,IMPLEMENTACION,INSTALACION,1
CL4747,SI-07,INVENTARIO,INVENTARIO,1
CL4747,SI-07,PROGRAMACION,RETIRAR,1
CL47925,SI-07,PROGRAMACION,MANTENIMIENTO,2
CL48181,SI-07,INVENTARIO,INVENTARIO,2
CL48194,SI-07,PROGRAMACION,RETIRAR,1
CL48214,SI-07,INVENTARIO,INVENTARIO,1
CL48218,SI-07,PROGRAMACION,REEMPLAZAR,1
CL48262,SI-07,INVENTARIO,INVENTARIO,1
CL48274,SI-07,INVENTARIO,INVENTARIO,1
CL48313,SI-07,INVENTARIO,INVENTARIO,1
CL48313,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL4844,SI-07,IMPLEMENTACION,INSTALACION,1
CL48539,SI-07,INVENTARIO,INVENTARIO,1
CL49325,SI-07,PROGRAMACION,RETIRAR,1
CL50684,SI-07,INVENTARIO,INVENTARIO,1
CL50874,SI-07,PROGRAMACION,REEMPLAZAR,1
CL51288,SI-07,IMPLEMENTACION,INSTALACION,1
CL5131,SI-07,PROGRAMACION,RETIRAR,1
CL5142,SI-07,INVENTARIO,INVENTARIO,1
CL5142,SI-07,PROGRAMACION,RETIRAR,1
CL5149,SI-07,PROGRAMACION,RETIRAR,1
CL5151,SI-07,INVENTARIO,INVENTARIO,1
CL5156,SI-07,INVENTARIO,INVENTARIO,1
CL5156,SI-07,PROGRAMACION,RETIRAR,1
CL51615,SI-07,IMPLEMENTACION,INSTALACION,1
CL51900,SI-07,PROGRAMACION,REEMPLAZAR,1
CL5196,SI-07,PROGRAMACION,REEMPLAZAR,1
CL5201,SI-07,IMPLEMENTACION,INSTALACION,1
CL5201,SI-07,INVENTARIO,INVENTARIO,1
CL5214,SI-07,INVENTARIO,INVENTARIO,1
CL5221,SI-07,PROGRAMACION,REEMPLAZAR,2
CL52214,SI-07,IMPLEMENTACION,INSTALACION,1
CL5223,SI-07,IMPLEMENTACION,INSTALACION,1
CL5224,SI-07,IMPLEMENTACION,INSTALACION,1
CL5230,SI-07,INVENTARIO,INVENTARIO,1
CL5236,SI-07,PROGRAMACION,RETIRAR,1
CL52574,SI-07,IMPLEMENTACION,INSTALACION,1
CL5261,SI-07,PROGRAMACION,RETIRAR,1
CL52740,SI-07,PROGRAMACION,RETIRAR,1
CL54562,SI-07,INVENTARIO,INVENTARIO,1
CL54562,SI-07,PROGRAMACION,RETIRAR,1
CL5464,SI-07,IMPLEMENTACION,INSTALACION,1
CL5464,SI-07,INVENTARIO,INVENTARIO,1
CL5465,SI-07,PROGRAMACION,RETIRAR,1
CL5469,SI-07,INVENTARIO,INVENTARIO,1
CL5475,SI-07,IMPLEMENTACION,INSTALACION,1
CL5475,SI-07,INVENTARIO,INVENTARIO,1
CL5477,SI-07,PROGRAMACION,RETIRAR,1
CL5481,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL5486,SI-07,INVENTARIO,INVENTARIO,1
CL5486,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL5486,SI-07,PROGRAMACION,RETIRAR,1
CL54863,SI-07,PROGRAMACION,RETIRAR,1
CL5488,SI-07,INVENTARIO,INVENTARIO,1
CL5491,SI-07,IMPLEMENTACION,INSTALACION,1
CL5497,SI-07,INVENTARIO,INVENTARIO,1
CL5502,SI-07,INVENTARIO,INVENTARIO,1
CL5503,SI-07,INVENTARIO,INVENTARIO,1
CL5532,SI-07,INVENTARIO,INVENTARIO,1
CL5583,SI-07,INVENTARIO,INVENTARIO,1
CL5594,SI-07,INVENTARIO,INVENTARIO,1
CL5596,SI-07,INVENTARIO,INVENTARIO,1
CL5597,SI-07,INVENTARIO,INVENTARIO,1
CL5603,SI-07,INVENTARIO,INVENTARIO,4
CL5603,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL5606,SI-07,INVENTARIO,INVENTARIO,1
CL5608,SI-07,INVENTARIO,INVENTARIO,1
CL5611,SI-07,INVENTARIO,INVENTARIO,1
CL5620,SI-07,IMPLEMENTACION,INSTALACION,1
CL5625,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL5628,SI-07,INVENTARIO,INVENTARIO,1
CL5630,SI-07,INVENTARIO,INVENTARIO,1
CL5641,SI-07,INVENTARIO,INVENTARIO,1
CL5642,SI-07,INVENTARIO,INVENTARIO,1
CL5645,SI-07,INVENTARIO,INVENTARIO,1
CL5649,SI-07,IMPLEMENTACION,INSTALACION,2
CL5649,SI-07,INVENTARIO,INVENTARIO,1
CL5651,SI-07,IMPLEMENTACION,INSTALACION,1
CL5655,SI-07,INVENTARIO,INVENTARIO,1
CL5659,SI-07,INVENTARIO,INVENTARIO,2
CL5660,SI-07,INVENTARIO,INVENTARIO,1
CL5678,SI-07,INVENTARIO,INVENTARIO,1
CL5678,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL5689,SI-07,INVENTARIO,INVENTARIO,1
CL5693,SI-07,INVENTARIO,INVENTARIO,1
CL5693,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL5702,SI-07,INVENTARIO,INVENTARIO,1
CL5703,SI-07,PROGRAMACION,RETIRAR,1
CL5708,SI-07,INVENTARIO,INVENTARIO,1
CL5709,SI-07,INVENTARIO,INVENTARIO,1
CL5709,SI-07,PROGRAMACION,REEMPLAZAR,1
CL5715,SI-07,INVENTARIO,INVENTARIO,1
CL57158,SI-07,PROGRAMACION,REEMPLAZAR,1
CL5723,SI-07,INVENTARIO,INVENTARIO,1
CL5724,SI-07,INVENTARIO,INVENTARIO,1
CL5725,SI-07,INVENTARIO,INVENTARIO,1
CL5728,SI-07,INVENTARIO,INVENTARIO,1
CL5730,SI-07,IMPLEMENTACION,INSTALACION,2
CL5732,SI-07,INVENTARIO,INVENTARIO,1
CL5732,SI-07,PROGRAMACION,RETIRAR,1
CL5733,SI-07,INVENTARIO,INVENTARIO,1
CL5736,SI-07,INVENTARIO,INVENTARIO,1
CL5745,SI-07,IMPLEMENTACION,INSTALACION,1
CL5748,SI-07,INVENTARIO,INVENTARIO,1
CL5749,SI-07,INVENTARIO,INVENTARIO,1
CL5757,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL5762,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL5764,SI-07,IMPLEMENTACION,INSTALACION,1
CL5765,SI-07,IMPLEMENTACION,INSTALACION,1
CL5770,SI-07,IMPLEMENTACION,INSTALACION,1
CL5770,SI-07,INVENTARIO,INVENTARIO,2
CL5774,SI-07,IMPLEMENTACION,INSTALACION,1
CL5774,SI-07,INVENTARIO,INVENTARIO,1
CL5775,SI-07,INVENTARIO,INVENTARIO,1
CL5776,SI-07,INVENTARIO,INVENTARIO,1
CL5782,SI-07,INVENTARIO,INVENTARIO,1
CL5783,SI-07,INVENTARIO,INVENTARIO,1
CL5807,SI-07,INVENTARIO,INVENTARIO,1
CL5808,SI-07,IMPLEMENTACION,INSTALACION,1
CL5808,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL5812,SI-07,INVENTARIO,INVENTARIO,1
CL5815,SI-07,INVENTARIO,INVENTARIO,1
CL5825,SI-07,INVENTARIO,INVENTARIO,2
CL5849,SI-07,INVENTARIO,INVENTARIO,1
CL5867,SI-07,INVENTARIO,INVENTARIO,1
CL5897,SI-07,INVENTARIO,INVENTARIO,1
CL5914,SI-07,PROGRAMACION,REEMPLAZAR,1
CL5915,SI-07,IMPLEMENTACION,INSTALACION,1
CL5915,SI-07,INVENTARIO,INVENTARIO,2
CL5918,SI-07,INVENTARIO,INVENTARIO,2
CL5923,SI-07,INVENTARIO,INVENTARIO,1
CL5923,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL5959,SI-07,INVENTARIO,INVENTARIO,1
