CodigoCL,TIPO_SENAL,FASE,ACCION,n
CL100088,SP-46,IMPLEMENTACION,INSTALACION,1
CL100099,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL100121,SP-46,IMPLEMENTACION,INSTALACION,1
CL100126,SP-46,IMPLEMENTACION,INSTALACION,1
CL100136,SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL100136,SP-46B,IMPLEMENTACION,INSTALACION,1
CL10016,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL100176,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL100178,SP-46,PROGRAMACION,MANTENIMIENTO,1
CL100189,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL10021,SP-46,PROGRAMACION,MANTENIMIENTO,2
CL100258,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL100303,SP-46,INVENTARIO,INVENTARIO,1
CL100308,SP-46,PROGRAMACION,RETIRAR,1
CL100326,SP-46B,IMPLEMENTACION,INSTALACION,1
CL100368,SP-46,INVENTARIO,INVENTARIO,1
CL100376,SP-46,INVENTARIO,INVENTARIO,1
CL10038,SP-46,INVENTARIO,INVENTARIO,1
CL100450,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL100450,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL10048,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL100487,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL100487,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL100495,SP-46,INVENTARIO,INVENTARIO,1
CL100508,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL100509,SI-24,INVENTARIO,INVENTARIO,1
CL10052,SP-46B,IMPLEMENTACION,INSTALACION,1
CL100561,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL100564,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL100638,SP-46,PROGRAMACION,MANTENIMIENTO,1
CL10065,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL100657,SP-59A/SP-46A,IMPLEMENTACION,INSTALACION,1
CL100680,SP-46,PROGRAMACION,REEMPLAZAR,1
CL100697,SP-46,INVENTARIO,INVENTARIO,1
CL1007,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL10074,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL100756,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL100779,SP-46,PROGRAMACION,RETIRAR,1
CL10092,SP-46A/SR-30,INVENTARIO,INVENTARIO,1
CL10093,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL10094,SP-46,IMPLEMENTACION,REUBICAR,1
CL10104,SP-46A,IMPLEMENTACION,INSTALACION,1
CL10104,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL10111,SP-46B,PROGRAMACION,RETIRAR,1
CL10122,SP-46A,PROGRAMACION,REEMPLAZAR,1
CL10124,SP-46B,IMPLEMENTACION,INSTALACION,2
CL10129,SP-46A,IMPLEMENTACION,INSTALACION,1
CL10137,SP-46,INVENTARIO,INVENTARIO,1
CL10138,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL10193,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL10203,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL10203,SP-46/SR-30,PROGRAMACION,REEMPLAZAR,2
CL10206,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL1022,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,2
CL1022,SP-46B,IMPLEMENTACION,INSTALACION,1
CL10221,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL10222,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL10227,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL1023,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL10260,SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL10260,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL10280,SP-46,IMPLEMENTACION,INSTALACION,1
CL10280,SP-46,INVENTARIO,INVENTARIO,1
CL1029,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
