TIPO_SENAL,FASE,ACCION,n,percent_in_sign_type
SI-07,IMPLEMENTACION,INSTALACION,121,19.516129032258064
SI-07,IMPLEMENTACION,REEMPLAZAR,19,3.064516129032258
SI-07,IMPLEMENTACION,REUBICAR,15,2.4193548387096775
SI-07,INVENTARIO,INVENTARIO,256,41.29032258064516
SI-07,PROGRAMACION,MANTENIMIENTO,37,5.967741935483871
SI-07,PROGRAMACION,REEMPLAZAR,83,13.38709677419355
SI-07,PROGRAMACION,RETIRAR,88,14.193548387096774
SI-07,PROGRAMACION,REUBICAR,1,0.16129032258064516
SI-07A,INVENTARIO,INVENTARIO,4,80
SI-07A,PROGRAMACION,REEMPLAZAR,1,20
