TIPO_SENAL,FASE,ACCION,n,percent_in_sign_type
SP-46,IMPLEMENTACION,INSTALACION,369,22.269161134580568
SP-46,IMPLEMENTACION,MANTENIMIENTO,2,0.12070006035003018
SP-46,IMPLEMENTACION,REEMPLAZAR,40,2.4140012070006036
SP-46,IMPLEMENTACION,REUBICAR,55,3.31925165962583
SP-46,INVENTARIO,INVENTARIO,520,31.382015691007847
SP-46,PROGRAMACION,MANTENIMIENTO,166,10.018105009052505
SP-46,PROGRAMACION,REEMPLAZAR,247,14.906457453228727
SP-46,PROGRAMACION,RETIRAR,252,15.208207604103801
SP-46,PROGRAMACION,REUBICAR,6,0.3621001810500905
SP-46 PLAQUETA,INVENTARIO,INVENTARIO,4,80
SP-46 PLAQUETA,PROGRAMACION,MANTENIMIENTO,1,20
SP-46/SR-01,PROGRAMACION,RETIRAR,1,100
SP-46/SR-16,INVENTARIO,INVENTARIO,2,100
SP-46/SR-28,INVENTARIO,INVENTARIO,1,50
SP-46/SR-28,PROGRAMACION,RETIRAR,1,50
SP-46/SR-30,IMPLEMENTACION,INSTALACION,1036,43.31103678929766
SP-46/SR-30,IMPLEMENTACION,MANTENIMIENTO,1,0.04180602006688963
SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,88,3.678929765886288
SP-46/SR-30,IMPLEMENTACION,REUBICAR,7,0.2926421404682274
SP-46/SR-30,INVENTARIO,INVENTARIO,651,27.21571906354515
SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,178,7.441471571906355
SP-46/SR-30,PROGRAMACION,REEMPLAZAR,185,7.734113712374582
SP-46/SR-30,PROGRAMACION,RETIRAR,231,9.657190635451505
SP-46/SR-30,PROGRAMACION,REUBICAR,15,0.6270903010033445
SP-46A,IMPLEMENTACION,INSTALACION,82,91.11111111111111
SP-46A,IMPLEMENTACION,REEMPLAZAR,7,7.777777777777778
SP-46A,PROGRAMACION,REEMPLAZAR,1,1.1111111111111112
SP-46A/SP-24,IMPLEMENTACION,INSTALACION,18,100
SP-46A/SP-25,IMPLEMENTACION,INSTALACION,1,100
SP-46A/SR-30,IMPLEMENTACION,INSTALACION,430,97.9498861047836
SP-46A/SR-30,IMPLEMENTACION,REEMPLAZAR,4,0.9111617312072893
SP-46A/SR-30,IMPLEMENTACION,REUBICAR,3,0.683371298405467
SP-46A/SR-30,INVENTARIO,INVENTARIO,2,0.45558086560364464
SP-46B,IMPLEMENTACION,INSTALACION,257,97.71863117870723
SP-46B,IMPLEMENTACION,REEMPLAZAR,1,0.38022813688212925
SP-46B,IMPLEMENTACION,REUBICAR,1,0.38022813688212925
SP-46B,INVENTARIO,INVENTARIO,2,0.7604562737642585
SP-46B,PROGRAMACION,RETIRAR,2,0.7604562737642585
SP-59/SP-46,IMPLEMENTACION,INSTALACION,5,100
SP-59/SP-46A,IMPLEMENTACION,INSTALACION,3,100
SP-59A/SP-46A,IMPLEMENTACION,INSTALACION,17,100
