CodigoCL,TIPO_SENAL,FASE,ACCION,n
CL100508,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL100509,SI-24,INVENTARIO,INVENTARIO,1
CL10567,SI-24,INVENTARIO,INVENTARIO,1
CL12468,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL14725,SI-24,PROGRAMACION,RETIRAR,1
CL18881,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL18881,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL18881,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL18921,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL20970,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL20970,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL21113,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL22523,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL22866,SI-24,IMPLEMENTACION,INSTALACION,1
CL23004,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL23004,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL23181,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL23230,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL23251,SI-24/SR-30,IMPLEMENTACION,INSTALACION,1
CL23251,SI-24/SR-30,INVENTARIO,INVENTARIO,4
CL23251,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL23511,SI-24/SR-30,INVENTARIO,INVENTARIO,5
CL23511,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL23544,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL23562,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL23562,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL23987,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL24041,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,3
CL24041,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,3
CL24789,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL31054,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL33749,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL33749,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,4
CL33913,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL33958,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL34945,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL34945,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL35161,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL35442,SI-24/SR-30,IMPLEMENTACION,INSTALACION,1
CL35442,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL35492,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL35492,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,5
CL35493,SI-24/SR-30,IMPLEMENTACION,INSTALACION,1
CL35493,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL37300,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL37300,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,3
CL37300,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,3
CL37512,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL37798,SI-24/SR-30,INVENTARIO,INVENTARIO,5
CL37798,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL37798,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL39077,SI-24,INVENTARIO,INVENTARIO,1
CL40701,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL40701,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL40702,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL40702,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL40865,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL40865,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL40865,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL40865,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL41731,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL41731,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL41964,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL41964,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL42187,SI-24/SR-30,INVENTARIO,INVENTARIO,4
CL42770,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL42778,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL42780,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL42780,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL42793,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL42793,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,3
CL42793,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL42804,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL4333,SI-24,INVENTARIO,INVENTARIO,2
CL43397,SI-24/SR-30,INVENTARIO,INVENTARIO,4
CL43397,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL4341,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL4341,SI-24 PLAQUETA,INVENTARIO,INVENTARIO,1
CL43625,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL43625,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL43626,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL43635,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL43636,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL44723,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL44861,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL44862,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL4526,SI-24,INVENTARIO,INVENTARIO,1
CL4537,SI-24,INVENTARIO,INVENTARIO,2
CL4540,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL45574,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL45631,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL46358,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL4731,SI-24,PROGRAMACION,REEMPLAZAR,1
CL48162,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL48162,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL48168,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL48175,SI-24/SR-30,INVENTARIO,INVENTARIO,4
CL48175,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,4
CL48185,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL48185,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
