TIPO_SENAL,FASE,ACCION,n,percent_in_sign_type
SI-24,IMPLEMENTACION,INSTALACION,15,13.761467889908257
SI-24,INVENTARIO,INVENTARIO,40,36.69724770642202
SI-24,PROGRAMACION,MANTENIMIENTO,23,21.100917431192663
SI-24,PROGRAMACION,REEMPLAZAR,21,19.26605504587156
SI-24,PROGRAMACION,RETIRAR,10,9.174311926605505
SI-24 PLAQUETA,INVENTARIO,INVENTARIO,1,100
SI-24/SR-30,IMPLEMENTACION,INSTALACION,7,3.0973451327433628
SI-24/SR-30,IMPLEMENTACION,REEMPLAZAR,1,0.4424778761061947
SI-24/SR-30,INVENTARIO,INVENTARIO,113,50
SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,35,15.486725663716813
SI-24/SR-30,PROGRAMACION,REEMPLAZAR,60,26.548672566371685
SI-24/SR-30,PROGRAMACION,RETIRAR,10,4.424778761061947
